"Time","Boost pressure","Engine oil pressure","Engine oil level","Engine oil level","Cam position","TAG"
"sec","mbar","bar","l","mm","deg."," "
114.05,1004.0000,2.4000,4.4290,66.6000,309.7500,""
114.42,1004.0000,2.4000,4.4290,66.6000,561.1900,""
114.75,1004.0000,2.4000,4.4290,66.6000,561.1900,""
115.15,1004.0000,2.4400,4.4290,66.5000,309.7500,""
115.49,1004.0000,2.4400,4.4290,66.5000,309.6900,""
115.87,1004.0000,2.4400,4.4290,66.5000,561.0600,""
116.19,1004.0000,2.4400,4.4290,66.5000,561.1900,""
116.54,1004.0000,2.4400,4.4290,66.5000,94.0000,""
116.88,1004.0000,2.4000,4.4290,66.5000,129.7500,""
117.26,1004.0000,2.4000,4.4290,66.5000,309.6900,""
117.62,1004.0000,2.4000,4.4290,66.5000,454.0000,""
118.03,1004.0000,2.4400,4.4290,66.6000,273.2500,""
118.35,1004.0000,2.4400,4.4290,66.6000,273.5000,""
118.85,1004.0000,2.4400,4.4290,66.5000,309.7500,""
119.19,1004.0000,2.4400,4.4360,66.5000,454.0600,""
119.50,1004.0000,2.4400,4.4360,66.5000,454.0000,""
119.82,1004.0000,2.4400,4.4360,66.5000,309.7500,""
120.19,1004.0000,2.4400,4.4360,66.5000,634.1900,""
120.54,1004.0000,2.4400,4.4360,66.5000,94.0000,""
120.86,1004.0000,2.4400,4.4360,66.5000,93.8800,""
121.23,1004.0000,2.4400,4.4360,66.5000,129.7500,""
121.55,1004.0000,2.4000,4.4360,66.5000,273.3800,""
121.97,1004.0000,2.4400,4.4360,66.6000,634.1900,""
122.30,1004.0000,2.4400,4.4360,66.6000,21.0600,""
122.66,1004.0000,2.4400,4.4360,66.6000,129.8800,""
122.99,1004.0000,2.4400,4.4360,66.5000,309.6900,""
123.38,1004.0000,2.4400,4.4360,66.5000,454.0000,""
123.73,1004.0000,2.4400,4.4360,66.6000,21.0600,""
124.10,1004.0000,2.4400,4.4360,66.6000,129.8800,""
124.42,1004.0000,2.4400,4.4360,66.6000,129.7500,""
124.78,1004.0000,2.4400,4.4360,66.5000,454.0000,""
125.15,1004.0000,2.4400,4.4360,66.5000,561.0600,""
125.57,1004.0000,2.4000,4.4360,66.5000,309.7500,""
125.95,1004.0000,2.4400,4.4360,66.5000,561.1900,""
126.27,1004.0000,2.4400,4.4360,66.5000,634.0600,""
126.64,1004.0000,2.4400,4.4360,66.5000,129.7500,""
127.02,1004.0000,2.4400,4.4360,66.7000,454.0000,""
127.39,1004.0000,2.4400,4.4360,66.7000,634.0600,""
127.71,1004.0000,2.4400,4.4360,66.7000,634.1900,""
128.06,1004.0000,2.4400,4.4360,66.8000,93.8800,""
